idx	status	level	score	techniques
11	solved	极端	13056	隐藏唯一数(Hidden Single)*10, Locked Candidates Type 1 (Pointing)*6, 隐藏数对(Hidden Pair)*1, Discontinuous Nice Loop*7, Almost Locked Set XY-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set Chain*1, Finned X-Wing*1, Forcing Chain Contradiction*13, Naked Triple*1, Naked Single*25, XYZ-Wing*1, Forcing Chain Verity*1, Locked Candidates Type 2 (Claiming)*1, Continuous Nice Loop*1, Naked Pair*3, AIC*1, 摩天楼(Skyscraper)*1, 三链列(Swordfish)*1, Sashimi Swordfish*1, Full House*19, W-Wing*1
12	solved	极端	7232	隐藏唯一数(Hidden Single)*16, Locked Candidates Type 1 (Pointing)*8, Naked Triple*1, 空矩形(Empty Rectangle)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Forcing Chain Contradiction*8, Forcing Net Verity*1, 隐式矩形(Hidden Rectangle)*1, Naked Single*17, Full House*20, Locked Candidates Type 2 (Claiming)*1, Discontinuous Nice Loop*2, 唯一性测试 3*1, W-Wing*1
13	solved	极端	12252	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 1 (Pointing)*8, Naked Triple*2, Finned Jellyfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*6, Naked Single*34, AIC*3, Discontinuous Nice Loop*8, Forcing Chain Contradiction*6, Almost Locked Set Chain*3, Naked Pair*2, Almost Locked Set XZ-Rule*2, XYZ-Wing*1, Sue de Coq*1, Almost Locked Set XY-Wing*1, XY-Wing*1, 双线风筝(2-String Kite)*1, 成组连续环(Grouped Continuous Nice Loop)*1, Finned Swordfish*1, Full House*21
14	solved	极端	5226	Naked Single*23, Full House*21, 隐藏唯一数(Hidden Single)*10, 隐式矩形(Hidden Rectangle)*1, Discontinuous Nice Loop*3, Forcing Chain Contradiction*2, Almost Locked Set XY-Wing*2, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Locked Candidates Type 2 (Claiming)*3, Almost Locked Set Chain*1, 双线风筝(2-String Kite)*2, Naked Pair*3, X-Wing*1, 摩天楼(Skyscraper)*2, XY-Wing*1, Locked Candidates Type 1 (Pointing)*1, W-Wing*1
15	solved	极端	2366	隐藏唯一数(Hidden Single)*11, Locked Candidates Type 1 (Pointing)*2, Locked Candidates Type 2 (Claiming)*5, Naked Triple*1, Forcing Chain Contradiction*1, Finned Swordfish*1, Sue de Coq*1, XY链(XY-Chain)*1, Naked Single*24, 双线风筝(2-String Kite)*1, 唯一性测试 3*1, Full House*19, W-Wing*1
16	solved	极端	8212	隐藏唯一数(Hidden Single)*11, Locked Candidates Type 1 (Pointing)*4, Finned X-Wing*1, Forcing Chain Contradiction*3, Forcing Net Verity*1, Locked Candidates Type 2 (Claiming)*3, 双线风筝(2-String Kite)*3, Discontinuous Nice Loop*7, Naked Triple*2, Almost Locked Set XY-Wing*2, Naked Single*21, 隐式矩形(Hidden Rectangle)*1, Naked Pair*2, X链(X-Chain)*1, Finned Swordfish*2, Continuous Nice Loop*1, XY-Wing*2, Sue de Coq*1, Naked Quadruple*1, W-Wing*1, Full House*21
17	solved	极端	2544	Naked Single*23, Full House*21, 隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*3, Locked Candidates Type 2 (Claiming)*3, X-Wing*1, Sue de Coq*1, Finned Swordfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Discontinuous Nice Loop*2, 隐式矩形(Hidden Rectangle)*1, 双线风筝(2-String Kite)*1, Naked Pair*1, 隐藏数对(Hidden Pair)*2
18	solved	极端	8436	隐藏唯一数(Hidden Single)*9, 双线风筝(2-String Kite)*2, 空矩形(Empty Rectangle)*2, X链(X-Chain)*1, AIC*1, 摩天楼(Skyscraper)*2, Discontinuous Nice Loop*5, Naked Pair*3, Forcing Chain Contradiction*5, Almost Locked Set XZ-Rule*2, Locked Candidates Type 1 (Pointing)*3, Locked Candidates Type 2 (Claiming)*1, Almost Locked Set XY-Wing*1, Almost Locked Set Chain*1, Naked Single*24, XYZ-Wing*2, 隐式矩形(Hidden Rectangle)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Locked Pair*2, Sue de Coq*1, XY-Wing*1, Full House*21
19	solved	极端	7130	隐藏唯一数(Hidden Single)*13, Locked Candidates Type 1 (Pointing)*9, Finned Swordfish*1, Finned Jellyfish*1, AIC*2, Discontinuous Nice Loop*3, 成组不连续环(Grouped Discontinuous Nice Loop)*5, Almost Locked Set Chain*1, Almost Locked Set XZ-Rule*4, Naked Triple*3, Naked Pair*1, Almost Locked Set XY-Wing*1, Naked Single*22, Locked Candidates Type 2 (Claiming)*1, 三链列(Swordfish)*1, Full House*20, 唯一性测试 4*1, 隐式矩形(Hidden Rectangle)*1, XY链(XY-Chain)*1, XY-Wing*1
20	solved	极端	7352	隐藏唯一数(Hidden Single)*14, Locked Candidates Type 2 (Claiming)*1, 双线风筝(2-String Kite)*2, 摩天楼(Skyscraper)*1, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*5, XYZ-Wing*2, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*2, AIC*1, Almost Locked Set XY-Wing*2, Forcing Net Verity*1, Naked Pair*1, Naked Single*18, Full House*21
21	solved	极端	9812	隐藏唯一数(Hidden Single)*6, Locked Candidates Type 1 (Pointing)*6, 双线风筝(2-String Kite)*2, 空矩形(Empty Rectangle)*1, Discontinuous Nice Loop*6, Naked Single*26, Finned Swordfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*5, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*5, Forcing Net Verity*1, 隐式矩形(Hidden Rectangle)*1, 隐藏数对(Hidden Pair)*1, Locked Candidates Type 2 (Claiming)*1, AIC*1, Almost Locked Set Chain*1, Full House*21, Naked Pair*1, 三链列(Swordfish)*1, Sue de Coq*1
22	solved	极端	5106	隐藏唯一数(Hidden Single)*16, Locked Candidates Type 1 (Pointing)*6, Sue de Coq*2, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Forcing Chain Contradiction*2, Full House*19, Naked Single*19, W-Wing*1, 唯一性测试 6*1, 唯一性测试 4*1
23	solved	极端	7428	隐藏唯一数(Hidden Single)*15, Locked Candidates Type 2 (Claiming)*2, Discontinuous Nice Loop*3, 成组不连续环(Grouped Discontinuous Nice Loop)*8, Forcing Chain Contradiction*1, Sashimi X-Wing*1, Finned Swordfish*2, Almost Locked Set XZ-Rule*1, 隐式矩形(Hidden Rectangle)*1, Finned Franken Swordfish*1, Naked Single*16, Locked Candidates Type 1 (Pointing)*2, 隐藏数对(Hidden Pair)*1, Continuous Nice Loop*1, 成组 AIC*1, 摩天楼(Skyscraper)*2, X-Wing*2, XY-Wing*1, Locked Pair*1, 三链列(Swordfish)*1, Naked Triple*1, 双线风筝(2-String Kite)*1, Full House*21
24	solved	极端	13422	隐藏唯一数(Hidden Single)*14, Discontinuous Nice Loop*9, Forcing Chain Contradiction*7, Locked Candidates Type 1 (Pointing)*4, AIC*1, Naked Single*19, Forcing Chain Verity*6, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Almost Locked Set XY-Wing*2, Finned Swordfish*1, Sue de Coq*1, 摩天楼(Skyscraper)*1, Almost Locked Set XZ-Rule*1, Naked Triple*3, XY链(XY-Chain)*3, Finned X-Wing*1, Full House*20, 三链列(Swordfish)*1, W-Wing*1
25	solved	极端	7618	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*4, 隐式矩形(Hidden Rectangle)*2, Finned Swordfish*2, Sue de Coq*2, Discontinuous Nice Loop*5, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Almost Locked Set XZ-Rule*4, Almost Locked Set XY-Wing*3, Locked Candidates Type 2 (Claiming)*3, 空矩形(Empty Rectangle)*2, Finned X-Wing*1, Naked Single*24, 成组 AIC*1, Almost Locked Set Chain*1, Naked Triple*1, XY-Wing*1, AIC*1, 摩天楼(Skyscraper)*1, Full House*21
26	solved	极端	2160	隐藏唯一数(Hidden Single)*17, Locked Candidates Type 1 (Pointing)*6, Forcing Net Verity*1, Naked Single*17, Naked Pair*2, 双线风筝(2-String Kite)*2, Full House*21, 唯一性测试 4*1, Sashimi X-Wing*1, 隐式矩形(Hidden Rectangle)*1
27	solved	极端	9812	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*4, 空矩形(Empty Rectangle)*1, Forcing Chain Contradiction*10, 成组不连续环(Grouped Discontinuous Nice Loop)*6, Finned Swordfish*2, 隐式矩形(Hidden Rectangle)*2, XYZ-Wing*1, Locked Pair*1, Locked Candidates Type 2 (Claiming)*1, Discontinuous Nice Loop*2, 成组 AIC*1, 双线风筝(2-String Kite)*1, Naked Single*20, Naked Triple*1, 多宝鱼(Turbot Fish)*1, AIC*1, Full House*21
28	solved	极端	9530	Naked Single*21, 隐藏唯一数(Hidden Single)*8, 空矩形(Empty Rectangle)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*9, Forcing Chain Contradiction*7, Locked Candidates Type 2 (Claiming)*3, 成组 AIC*2, Discontinuous Nice Loop*2, Full House*21, 双线风筝(2-String Kite)*2, Almost Locked Set XY-Wing*1, Locked Pair*1, W-Wing*1, XYZ-Wing*1, Continuous Nice Loop*1, Locked Candidates Type 1 (Pointing)*2, 摩天楼(Skyscraper)*1
29	solved	极端	7958	隐藏唯一数(Hidden Single)*15, Locked Candidates Type 1 (Pointing)*5, Forcing Net Verity*1, Forcing Net Contradiction*2, Forcing Chain Contradiction*5, Almost Locked Set Chain*1, Forcing Chain Verity*2, W-Wing*1, Locked Candidates Type 2 (Claiming)*1, AIC*1, Discontinuous Nice Loop*1, Almost Locked Set XY-Wing*1, Naked Single*17, Naked Triple*1, Finned Jellyfish*1, Full House*20
30	solved	极端	9966	隐藏唯一数(Hidden Single)*9, Locked Candidates Type 1 (Pointing)*5, 双线风筝(2-String Kite)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*5, Forcing Net Verity*1, Locked Candidates Type 2 (Claiming)*4, Naked Pair*1, Naked Triple*2, 空矩形(Empty Rectangle)*1, XY链(XY-Chain)*4, XYZ-Wing*1, Discontinuous Nice Loop*3, W-Wing*1, AIC*1, 成组 AIC*1, Naked Single*24, 隐藏数对(Hidden Pair)*2, X-Wing*1, XY-Wing*1, Full House*21
31	solved	极端	10444	隐藏唯一数(Hidden Single)*10, Locked Candidates Type 1 (Pointing)*5, X链(X-Chain)*1, Discontinuous Nice Loop*6, Sashimi Swordfish*1, Almost Locked Set XZ-Rule*2, Forcing Chain Contradiction*2, Forcing Net Verity*1, Forcing Net Contradiction*1, Naked Single*20, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Forcing Chain Verity*1, W-Wing*2, 成组 AIC*1, XY链(XY-Chain)*5, Locked Candidates Type 2 (Claiming)*2, X-Wing*1, 多宝鱼(Turbot Fish)*1, XY-Wing*1, Sue de Coq*1, Naked Pair*1, AIC*1, Full House*21
32	solved	极端	4962	隐藏唯一数(Hidden Single)*15, Finned Swordfish*1, X链(X-Chain)*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*5, Forcing Net Verity*1, Naked Single*19, Full House*19
33	solved	极端	9230	隐藏唯一数(Hidden Single)*13, Finned Swordfish*1, Discontinuous Nice Loop*6, Almost Locked Set XZ-Rule*3, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*4, Locked Candidates Type 2 (Claiming)*2, Continuous Nice Loop*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, 三链列(Swordfish)*1, AIC*1, X-Wing*1, Sue de Coq*2, Locked Candidates Type 1 (Pointing)*2, Naked Triple*1, 唯一性测试 3*1, XYZ-Wing*1, Finned X-Wing*1, XY链(XY-Chain)*1, Naked Pair*1, 隐藏数对(Hidden Pair)*1, 摩天楼(Skyscraper)*1, Naked Single*22, Full House*20
34	solved	极端	4474	隐藏唯一数(Hidden Single)*10, Locked Candidates Type 1 (Pointing)*4, Locked Candidates Type 2 (Claiming)*3, 隐藏数对(Hidden Pair)*1, Finned Swordfish*1, Forcing Chain Contradiction*4, Finned X-Wing*1, Naked Triple*2, 隐式矩形(Hidden Rectangle)*1, AIC*1, Almost Locked Set XY-Wing*2, Locked Pair*3, Naked Single*26, 唯一性测试 1*1, Full House*20
35	solved	极端	6242	隐藏唯一数(Hidden Single)*14, Locked Candidates Type 1 (Pointing)*3, 双线风筝(2-String Kite)*1, Finned Swordfish*2, Forcing Chain Contradiction*3, Almost Locked Set XZ-Rule*1, Forcing Net Verity*1, Locked Candidates Type 2 (Claiming)*1, 隐式矩形(Hidden Rectangle)*2, AIC*3, Discontinuous Nice Loop*5, Naked Single*19, Naked Triple*1, 多宝鱼(Turbot Fish)*1, Full House*20
36	solved	极端	5034	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*1, Locked Candidates Type 2 (Claiming)*4, 空矩形(Empty Rectangle)*1, 隐式矩形(Hidden Rectangle)*1, Discontinuous Nice Loop*5, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Naked Single*23, Almost Locked Set Chain*1, Forcing Chain Contradiction*4, X-Wing*1, Locked Pair*1, Full House*21
37	solved	极端	4852	Naked Single*22, 隐藏唯一数(Hidden Single)*11, 双线风筝(2-String Kite)*1, Sue de Coq*1, Forcing Net Contradiction*1, Discontinuous Nice Loop*9, 多宝鱼(Turbot Fish)*1, Finned X-Wing*1, Finned Jellyfish*1, 摩天楼(Skyscraper)*1, Full House*20, AIC*1
38	solved	极端	6930	隐藏唯一数(Hidden Single)*11, Locked Candidates Type 1 (Pointing)*7, Naked Single*24, 多宝鱼(Turbot Fish)*1, 唯一性测试 4*1, Finned X-Wing*1, Discontinuous Nice Loop*6, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*4, 隐式矩形(Hidden Rectangle)*1, AIC*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, X-Wing*1, Locked Candidates Type 2 (Claiming)*1, 双线风筝(2-String Kite)*1, Continuous Nice Loop*1, Full House*20
39	solved	极端	3264	隐藏唯一数(Hidden Single)*8, Locked Candidates Type 1 (Pointing)*2, Locked Candidates Type 2 (Claiming)*2, 双线风筝(2-String Kite)*2, Discontinuous Nice Loop*1, Forcing Chain Contradiction*3, Forcing Net Verity*1, Naked Single*24, Full House*19
40	solved	极端	4126	隐藏唯一数(Hidden Single)*12, Naked Single*22, 隐藏数对(Hidden Pair)*1, X-Wing*2, 唯一性测试 4*1, Finned Franken Swordfish*1, XYZ-Wing*3, Discontinuous Nice Loop*2, Almost Locked Set XY-Wing*1, Locked Candidates Type 1 (Pointing)*5, 成组 AIC*1, AIC*2, 隐式矩形(Hidden Rectangle)*1, Full House*20, W-Wing*2
41	solved	极端	3044	隐藏唯一数(Hidden Single)*7, Locked Candidates Type 1 (Pointing)*4, Naked Triple*1, Naked Single*29, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XZ-Rule*1, Locked Pair*1, 空矩形(Empty Rectangle)*2, X-Wing*1, XY-Wing*1, AIC*1, Discontinuous Nice Loop*1, Full House*20, 摩天楼(Skyscraper)*1
42	solved	极端	8844	Naked Single*21, Full House*20, 隐藏唯一数(Hidden Single)*10, Locked Candidates Type 1 (Pointing)*7, Sue de Coq*3, 隐式矩形(Hidden Rectangle)*1, Finned X-Wing*1, AIC*1, Discontinuous Nice Loop*3, 成组 AIC*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*6, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Naked Triple*1, Naked Pair*2, 双线风筝(2-String Kite)*1, Continuous Nice Loop*1, Locked Candidates Type 2 (Claiming)*1, W-Wing*1, Finned Swordfish*1, XY链(XY-Chain)*2
43	solved	极端	10616	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*7, 隐式矩形(Hidden Rectangle)*1, Finned Swordfish*2, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Discontinuous Nice Loop*4, Almost Locked Set XZ-Rule*2, Almost Locked Set Chain*1, Forcing Chain Contradiction*7, 隐藏数对(Hidden Pair)*1, AIC*3, Locked Candidates Type 2 (Claiming)*1, Almost Locked Set XY-Wing*1, Finned X-Wing*1, Naked Single*21, Naked Triple*1, Continuous Nice Loop*1, XY链(XY-Chain)*2, Finned Jellyfish*1, 摩天楼(Skyscraper)*1, Full House*21
44	solved	极端	4244	隐藏唯一数(Hidden Single)*13, Locked Candidates Type 2 (Claiming)*3, Naked Triple*1, 唯一性测试 4*1, Forcing Net Verity*2, 多宝鱼(Turbot Fish)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Chain Verity*1, 双线风筝(2-String Kite)*2, Forcing Chain Contradiction*1, Naked Single*18, Locked Candidates Type 1 (Pointing)*2, Naked Pair*1, 三链列(Swordfish)*1, Full House*20, W-Wing*1
45	solved	极端	8628	Locked Candidates Type 1 (Pointing)*4, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*4, Forcing Net Verity*1, 隐藏唯一数(Hidden Single)*5, Almost Locked Set XY-Wing*3, Discontinuous Nice Loop*6, Naked Triple*2, XY-Wing*2, 隐式矩形(Hidden Rectangle)*1, 多宝鱼(Turbot Fish)*1, Almost Locked Set Chain*1, Naked Single*27, W-Wing*1, Sue de Coq*2, XY链(XY-Chain)*2, Full House*20, XYZ-Wing*1, X-Wing*1
46	solved	极端	2176	隐藏唯一数(Hidden Single)*19, Locked Candidates Type 1 (Pointing)*6, Almost Locked Set XZ-Rule*3, Naked Single*14, 唯一性测试 4*1, Locked Candidates Type 2 (Claiming)*1, 隐式矩形(Hidden Rectangle)*1, Sue de Coq*1, 隐藏数对(Hidden Pair)*1, Full House*21
47	solved	极端	9868	隐藏唯一数(Hidden Single)*6, Locked Candidates Type 1 (Pointing)*4, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Forcing Chain Contradiction*5, Forcing Chain Verity*3, Discontinuous Nice Loop*4, 双线风筝(2-String Kite)*2, Naked Triple*2, Naked Pair*2, Forcing Net Contradiction*1, Naked Single*25, Full House*21, 空矩形(Empty Rectangle)*1, Locked Pair*1, Locked Candidates Type 2 (Claiming)*1, 唯一性测试 3*1, 隐式矩形(Hidden Rectangle)*1, Finned X-Wing*1, XY链(XY-Chain)*3, 隐藏数对(Hidden Pair)*1, AIC*1, 摩天楼(Skyscraper)*1
48	solved	极端	8302	Locked Triple*1, 隐藏唯一数(Hidden Single)*8, Locked Candidates Type 1 (Pointing)*3, Locked Candidates Type 2 (Claiming)*2, 双线风筝(2-String Kite)*2, Discontinuous Nice Loop*1, Forcing Chain Contradiction*7, Almost Locked Set XZ-Rule*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set Chain*1, Finned Franken Swordfish*1, Almost Locked Set XY-Wing*2, Sue de Coq*1, XY-Wing*2, Naked Single*26, Naked Triple*1, 隐式矩形(Hidden Rectangle)*1, Continuous Nice Loop*1, Full House*19
49	solved	极端	3970	隐藏唯一数(Hidden Single)*13, Locked Candidates Type 1 (Pointing)*5, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Net Verity*1, Naked Single*21, AIC*1, Naked Triple*2, 双线风筝(2-String Kite)*1, Naked Pair*1, 多宝鱼(Turbot Fish)*1, W-Wing*2, Locked Candidates Type 2 (Claiming)*1, Discontinuous Nice Loop*3, Sue de Coq*1, Full House*21, XY-Wing*1
50	solved	极端	10260	隐藏唯一数(Hidden Single)*6, Locked Candidates Type 1 (Pointing)*1, 隐式矩形(Hidden Rectangle)*3, Finned X-Wing*1, Discontinuous Nice Loop*1, Locked Candidates Type 2 (Claiming)*4, Forcing Chain Contradiction*7, Naked Triple*2, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Forcing Chain Verity*1, Almost Locked Set XY-Wing*1, Almost Locked Set XZ-Rule*3, Sue de Coq*1, Almost Locked Set Chain*1, XY链(XY-Chain)*3, Naked Single*29, Naked Pair*1, 隐藏数对(Hidden Pair)*1, X-Wing*2, W-Wing*3, 双线风筝(2-String Kite)*1, 空矩形(Empty Rectangle)*1, Sashimi Swordfish*1, Full House*20
51	solved	极端	6588	隐藏唯一数(Hidden Single)*16, Locked Candidates Type 1 (Pointing)*6, 空矩形(Empty Rectangle)*1, AIC*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Forcing Chain Contradiction*2, Forcing Net Contradiction*3, Naked Triple*1, 隐藏数对(Hidden Pair)*2, Forcing Net Verity*1, Naked Single*16, Locked Candidates Type 2 (Claiming)*1, W-Wing*1, Discontinuous Nice Loop*1, 多宝鱼(Turbot Fish)*1, Full House*20
52	solved	极端	2840	隐藏唯一数(Hidden Single)*15, Locked Candidates Type 1 (Pointing)*2, 隐藏数对(Hidden Pair)*2, Locked Candidates Type 2 (Claiming)*1, 成组 AIC*1, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Naked Triple*1, Forcing Chain Contradiction*1, Naked Single*21, Locked Pair*1, 摩天楼(Skyscraper)*1, 双线风筝(2-String Kite)*1, 唯一性测试 1*1, AIC*1, Full House*19
53	solved	极端	6972	隐藏唯一数(Hidden Single)*16, Naked Single*17, Full House*20, Finned X-Wing*1, Forcing Chain Contradiction*8, Locked Candidates Type 1 (Pointing)*5, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XY-Wing*1, Forcing Net Verity*1, Naked Pair*2, X-Wing*1, 三链列(Swordfish)*1, Locked Pair*1, 双线风筝(2-String Kite)*1, W-Wing*2
54	solved	极端	8272	隐藏唯一数(Hidden Single)*13, Locked Candidates Type 1 (Pointing)*6, Locked Candidates Type 2 (Claiming)*2, 空矩形(Empty Rectangle)*2, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*6, XYZ-Wing*1, 隐式矩形(Hidden Rectangle)*2, Almost Locked Set Chain*1, Forcing Chain Verity*1, Sue de Coq*3, Naked Single*19, Full House*21, AIC*1, X-Wing*1, XY-Wing*3, Naked Pair*2, XY链(XY-Chain)*2, W-Wing*2
55	solved	极端	12268	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*5, Locked Candidates Type 2 (Claiming)*1, Almost Locked Set XY-Wing*3, AIC*4, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*7, Forcing Chain Contradiction*3, Almost Locked Set Chain*2, Forcing Chain Verity*2, Almost Locked Set XZ-Rule*1, XYZ-Wing*1, Finned X-Wing*1, Naked Single*20, 摩天楼(Skyscraper)*1, 双线风筝(2-String Kite)*1, XY-Wing*2, Naked Pair*2, X-Wing*3, 隐藏数对(Hidden Pair)*1, XY链(XY-Chain)*3, Full House*20
