idx	status	level	score	techniques
22	solved	极端	5106	隐藏唯一数(Hidden Single)*16, Locked Candidates Type 1 (Pointing)*6, Sue de Coq*2, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Forcing Chain Contradiction*2, Full House*19, Naked Single*19, W-Wing*1, 唯一性测试 6*1, 唯一性测试 4*1
23	solved	极端	7428	隐藏唯一数(Hidden Single)*15, Locked Candidates Type 2 (Claiming)*2, Discontinuous Nice Loop*3, 成组不连续环(Grouped Discontinuous Nice Loop)*8, Forcing Chain Contradiction*1, Sashimi X-Wing*1, Finned Swordfish*2, Almost Locked Set XZ-Rule*1, 隐式矩形(Hidden Rectangle)*1, Finned Franken Swordfish*1, Naked Single*16, Locked Candidates Type 1 (Pointing)*2, 隐藏数对(Hidden Pair)*1, Continuous Nice Loop*1, 成组 AIC*1, 摩天楼(Skyscraper)*2, X-Wing*2, XY-Wing*1, Locked Pair*1, 三链列(Swordfish)*1, Naked Triple*1, 双线风筝(2-String Kite)*1, Full House*21
24	solved	极端	13422	隐藏唯一数(Hidden Single)*14, Discontinuous Nice Loop*9, Forcing Chain Contradiction*7, Locked Candidates Type 1 (Pointing)*4, AIC*1, Naked Single*19, Forcing Chain Verity*6, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Almost Locked Set XY-Wing*2, Finned Swordfish*1, Sue de Coq*1, 摩天楼(Skyscraper)*1, Almost Locked Set XZ-Rule*1, Naked Triple*3, XY链(XY-Chain)*3, Finned X-Wing*1, Full House*20, 三链列(Swordfish)*1, W-Wing*1
25	solved	极端	7618	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*4, 隐式矩形(Hidden Rectangle)*2, Finned Swordfish*2, Sue de Coq*2, Discontinuous Nice Loop*5, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Almost Locked Set XZ-Rule*4, Almost Locked Set XY-Wing*3, Locked Candidates Type 2 (Claiming)*3, 空矩形(Empty Rectangle)*2, Finned X-Wing*1, Naked Single*24, 成组 AIC*1, Almost Locked Set Chain*1, Naked Triple*1, XY-Wing*1, AIC*1, 摩天楼(Skyscraper)*1, Full House*21
26	stuck	-	268	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*2
27	solved	极端	9812	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*4, 空矩形(Empty Rectangle)*1, Forcing Chain Contradiction*10, 成组不连续环(Grouped Discontinuous Nice Loop)*6, Finned Swordfish*2, 隐式矩形(Hidden Rectangle)*2, XYZ-Wing*1, Locked Pair*1, Locked Candidates Type 2 (Claiming)*1, Discontinuous Nice Loop*2, 成组 AIC*1, 双线风筝(2-String Kite)*1, Naked Single*20, Naked Triple*1, 多宝鱼(Turbot Fish)*1, AIC*1, Full House*21
28	solved	极端	9530	Naked Single*21, 隐藏唯一数(Hidden Single)*8, 空矩形(Empty Rectangle)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*9, Forcing Chain Contradiction*7, Locked Candidates Type 2 (Claiming)*3, 成组 AIC*2, Discontinuous Nice Loop*2, Full House*21, 双线风筝(2-String Kite)*2, Almost Locked Set XY-Wing*1, Locked Pair*1, W-Wing*1, XYZ-Wing*1, Continuous Nice Loop*1, Locked Candidates Type 1 (Pointing)*2, 摩天楼(Skyscraper)*1
29	stuck	-	176	隐藏唯一数(Hidden Single)*9, Locked Candidates Type 1 (Pointing)*1
30	stuck	-	4018	隐藏唯一数(Hidden Single)*2, Locked Candidates Type 1 (Pointing)*2, 双线风筝(2-String Kite)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*5
31	stuck	-	2960	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*5, X链(X-Chain)*1, Discontinuous Nice Loop*3, Sashimi Swordfish*1, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*2
32	stuck	-	4026	隐藏唯一数(Hidden Single)*9, Finned Swordfish*1, X链(X-Chain)*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*5
33	solved	极端	9230	隐藏唯一数(Hidden Single)*13, Finned Swordfish*1, Discontinuous Nice Loop*6, Almost Locked Set XZ-Rule*3, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*4, Locked Candidates Type 2 (Claiming)*2, Continuous Nice Loop*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, 三链列(Swordfish)*1, AIC*1, X-Wing*1, Sue de Coq*2, Locked Candidates Type 1 (Pointing)*2, Naked Triple*1, 唯一性测试 3*1, XYZ-Wing*1, Finned X-Wing*1, XY链(XY-Chain)*1, Naked Pair*1, 隐藏数对(Hidden Pair)*1, 摩天楼(Skyscraper)*1, Naked Single*22, Full House*20
34	solved	极端	4474	隐藏唯一数(Hidden Single)*10, Locked Candidates Type 1 (Pointing)*4, Locked Candidates Type 2 (Claiming)*3, 隐藏数对(Hidden Pair)*1, Finned Swordfish*1, Forcing Chain Contradiction*4, Finned X-Wing*1, Naked Triple*2, 隐式矩形(Hidden Rectangle)*1, AIC*1, Almost Locked Set XY-Wing*2, Locked Pair*3, Naked Single*26, 唯一性测试 1*1, Full House*20
35	stuck	-	2414	隐藏唯一数(Hidden Single)*1, Locked Candidates Type 1 (Pointing)*1, 双线风筝(2-String Kite)*1, Finned Swordfish*2, Forcing Chain Contradiction*3, Almost Locked Set XZ-Rule*1
36	solved	极端	5034	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*1, Locked Candidates Type 2 (Claiming)*4, 空矩形(Empty Rectangle)*1, 隐式矩形(Hidden Rectangle)*1, Discontinuous Nice Loop*5, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Naked Single*23, Almost Locked Set Chain*1, Forcing Chain Contradiction*4, X-Wing*1, Locked Pair*1, Full House*21
37	stuck	-	446	Naked Single*1, 隐藏唯一数(Hidden Single)*3, 双线风筝(2-String Kite)*1, Sue de Coq*1
38	solved	极端	6930	隐藏唯一数(Hidden Single)*11, Locked Candidates Type 1 (Pointing)*7, Naked Single*24, 多宝鱼(Turbot Fish)*1, 唯一性测试 4*1, Finned X-Wing*1, Discontinuous Nice Loop*6, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*4, 隐式矩形(Hidden Rectangle)*1, AIC*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, X-Wing*1, Locked Candidates Type 2 (Claiming)*1, 双线风筝(2-String Kite)*1, Continuous Nice Loop*1, Full House*20
39	stuck	-	2294	隐藏唯一数(Hidden Single)*1, Locked Candidates Type 1 (Pointing)*2, Locked Candidates Type 2 (Claiming)*2, 双线风筝(2-String Kite)*2, Discontinuous Nice Loop*1, Forcing Chain Contradiction*3
40	solved	极端	4126	隐藏唯一数(Hidden Single)*12, Naked Single*22, 隐藏数对(Hidden Pair)*1, X-Wing*2, 唯一性测试 4*1, Finned Franken Swordfish*1, XYZ-Wing*3, Discontinuous Nice Loop*2, Almost Locked Set XY-Wing*1, Locked Candidates Type 1 (Pointing)*5, 成组 AIC*1, AIC*2, 隐式矩形(Hidden Rectangle)*1, Full House*20, W-Wing*2
41	solved	极端	3044	隐藏唯一数(Hidden Single)*7, Locked Candidates Type 1 (Pointing)*4, Naked Triple*1, Naked Single*29, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XZ-Rule*1, Locked Pair*1, 空矩形(Empty Rectangle)*2, X-Wing*1, XY-Wing*1, AIC*1, Discontinuous Nice Loop*1, Full House*20, 摩天楼(Skyscraper)*1
42	solved	极端	8844	Naked Single*21, Full House*20, 隐藏唯一数(Hidden Single)*10, Locked Candidates Type 1 (Pointing)*7, Sue de Coq*3, 隐式矩形(Hidden Rectangle)*1, Finned X-Wing*1, AIC*1, Discontinuous Nice Loop*3, 成组 AIC*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*6, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Naked Triple*1, Naked Pair*2, 双线风筝(2-String Kite)*1, Continuous Nice Loop*1, Locked Candidates Type 2 (Claiming)*1, W-Wing*1, Finned Swordfish*1, XY链(XY-Chain)*2
43	solved	极端	10616	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*7, 隐式矩形(Hidden Rectangle)*1, Finned Swordfish*2, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Discontinuous Nice Loop*4, Almost Locked Set XZ-Rule*2, Almost Locked Set Chain*1, Forcing Chain Contradiction*7, 隐藏数对(Hidden Pair)*1, AIC*3, Locked Candidates Type 2 (Claiming)*1, Almost Locked Set XY-Wing*1, Finned X-Wing*1, Naked Single*21, Naked Triple*1, Continuous Nice Loop*1, XY链(XY-Chain)*2, Finned Jellyfish*1, 摩天楼(Skyscraper)*1, Full House*21
44	stuck	-	322	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 2 (Claiming)*2, Naked Triple*1, 唯一性测试 4*1
45	stuck	-	1350	Locked Candidates Type 1 (Pointing)*1, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*2
46	solved	极端	2176	隐藏唯一数(Hidden Single)*19, Locked Candidates Type 1 (Pointing)*6, Almost Locked Set XZ-Rule*3, Naked Single*14, 唯一性测试 4*1, Locked Candidates Type 2 (Claiming)*1, 隐式矩形(Hidden Rectangle)*1, Sue de Coq*1, 隐藏数对(Hidden Pair)*1, Full House*21
47	stuck	-	6550	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*3, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Forcing Chain Contradiction*5, Forcing Chain Verity*3, Discontinuous Nice Loop*3, 双线风筝(2-String Kite)*1, Naked Triple*1, Naked Pair*1
48	solved	极端	8302	Locked Triple*1, 隐藏唯一数(Hidden Single)*8, Locked Candidates Type 1 (Pointing)*3, Locked Candidates Type 2 (Claiming)*2, 双线风筝(2-String Kite)*2, Discontinuous Nice Loop*1, Forcing Chain Contradiction*7, Almost Locked Set XZ-Rule*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set Chain*1, Finned Franken Swordfish*1, Almost Locked Set XY-Wing*2, Sue de Coq*1, XY-Wing*2, Naked Single*26, Naked Triple*1, 隐式矩形(Hidden Rectangle)*1, Continuous Nice Loop*1, Full House*19
49	stuck	-	562	隐藏唯一数(Hidden Single)*8, Locked Candidates Type 1 (Pointing)*3, 成组不连续环(Grouped Discontinuous Nice Loop)*1
50	solved	极端	10260	隐藏唯一数(Hidden Single)*6, Locked Candidates Type 1 (Pointing)*1, 隐式矩形(Hidden Rectangle)*3, Finned X-Wing*1, Discontinuous Nice Loop*1, Locked Candidates Type 2 (Claiming)*4, Forcing Chain Contradiction*7, Naked Triple*2, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Forcing Chain Verity*1, Almost Locked Set XY-Wing*1, Almost Locked Set XZ-Rule*3, Sue de Coq*1, Almost Locked Set Chain*1, XY链(XY-Chain)*3, Naked Single*29, Naked Pair*1, 隐藏数对(Hidden Pair)*1, X-Wing*2, W-Wing*3, 双线风筝(2-String Kite)*1, 空矩形(Empty Rectangle)*1, Sashimi Swordfish*1, Full House*20
51	stuck	-	2104	隐藏唯一数(Hidden Single)*11, Locked Candidates Type 1 (Pointing)*3, 空矩形(Empty Rectangle)*1, AIC*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Forcing Chain Contradiction*1
52	solved	极端	2840	隐藏唯一数(Hidden Single)*15, Locked Candidates Type 1 (Pointing)*2, 隐藏数对(Hidden Pair)*2, Locked Candidates Type 2 (Claiming)*1, 成组 AIC*1, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Naked Triple*1, Forcing Chain Contradiction*1, Naked Single*21, Locked Pair*1, 摩天楼(Skyscraper)*1, 双线风筝(2-String Kite)*1, 唯一性测试 1*1, AIC*1, Full House*19
53	stuck	-	5012	隐藏唯一数(Hidden Single)*11, Naked Single*1, Full House*1, Finned X-Wing*1, Forcing Chain Contradiction*8, Locked Candidates Type 1 (Pointing)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XY-Wing*1
54	solved	极端	8272	隐藏唯一数(Hidden Single)*13, Locked Candidates Type 1 (Pointing)*6, Locked Candidates Type 2 (Claiming)*2, 空矩形(Empty Rectangle)*2, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*6, XYZ-Wing*1, 隐式矩形(Hidden Rectangle)*2, Almost Locked Set Chain*1, Forcing Chain Verity*1, Sue de Coq*3, Naked Single*19, Full House*21, AIC*1, X-Wing*1, XY-Wing*3, Naked Pair*2, XY链(XY-Chain)*2, W-Wing*2
55	solved	极端	12268	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*5, Locked Candidates Type 2 (Claiming)*1, Almost Locked Set XY-Wing*3, AIC*4, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*7, Forcing Chain Contradiction*3, Almost Locked Set Chain*2, Forcing Chain Verity*2, Almost Locked Set XZ-Rule*1, XYZ-Wing*1, Finned X-Wing*1, Naked Single*20, 摩天楼(Skyscraper)*1, 双线风筝(2-String Kite)*1, XY-Wing*2, Naked Pair*2, X-Wing*3, 隐藏数对(Hidden Pair)*1, XY链(XY-Chain)*3, Full House*20
56	solved	极端	9750	隐藏唯一数(Hidden Single)*12, Naked Pair*5, X-Wing*1, 双线风筝(2-String Kite)*3, Discontinuous Nice Loop*3, 成组不连续环(Grouped Discontinuous Nice Loop)*1, 空矩形(Empty Rectangle)*1, Forcing Chain Contradiction*10, Forcing Chain Verity*2, Locked Candidates Type 1 (Pointing)*3, XYZ-Wing*1, Finned Swordfish*1, Locked Candidates Type 2 (Claiming)*1, Naked Single*17, XY-Wing*1, Full House*21, X链(X-Chain)*1, AIC*1
57	solved	极端	4896	Naked Single*20, 隐藏唯一数(Hidden Single)*14, Locked Candidates Type 1 (Pointing)*9, 隐藏数对(Hidden Pair)*1, 双线风筝(2-String Kite)*2, Finned Swordfish*1, Sashimi Swordfish*2, Finned Franken Swordfish*1, Forcing Chain Contradiction*2, Discontinuous Nice Loop*3, Locked Candidates Type 2 (Claiming)*3, XYZ-Wing*1, W-Wing*2, XY-Wing*1, Full House*20
58	stuck	-	2088	隐藏唯一数(Hidden Single)*2, Locked Candidates Type 1 (Pointing)*2, Naked Triple*1, 空矩形(Empty Rectangle)*1, Discontinuous Nice Loop*1, Almost Locked Set XY-Wing*2, Almost Locked Set Chain*1, Forcing Chain Contradiction*1
59	solved	极端	7728	双线风筝(2-String Kite)*3, Finned Swordfish*1, Discontinuous Nice Loop*9, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Naked Single*26, 三链列(Swordfish)*1, Almost Locked Set XZ-Rule*3, 隐藏唯一数(Hidden Single)*11, Naked Triple*1, Locked Candidates Type 1 (Pointing)*3, 隐藏数对(Hidden Pair)*1, Locked Candidates Type 2 (Claiming)*2, XYZ-Wing*2, 成组连续环(Grouped Continuous Nice Loop)*1, 空矩形(Empty Rectangle)*1, Naked Pair*2, AIC*2, X链(X-Chain)*1, W-Wing*1, Full House*20
60	stuck	-	1210	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*1, X-Wing*1, 双线风筝(2-String Kite)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Chain Contradiction*1
61	stuck	-	1786	隐藏唯一数(Hidden Single)*4, Locked Candidates Type 1 (Pointing)*3, Discontinuous Nice Loop*1, Forcing Chain Contradiction*2, 成组不连续环(Grouped Discontinuous Nice Loop)*1
62	solved	极端	10706	Naked Single*25, Full House*19, 隐藏唯一数(Hidden Single)*10, Locked Candidates Type 1 (Pointing)*4, XY链(XY-Chain)*1, Discontinuous Nice Loop*7, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Almost Locked Set XZ-Rule*2, Almost Locked Set Chain*1, Forcing Chain Verity*5, Forcing Chain Contradiction*5, 双线风筝(2-String Kite)*2, Locked Candidates Type 2 (Claiming)*1, AIC*2, 隐式矩形(Hidden Rectangle)*1, Naked Triple*2, Finned Swordfish*1, Naked Pair*1
63	solved	极端	5210	Naked Single*26, Full House*20, 隐藏唯一数(Hidden Single)*9, Discontinuous Nice Loop*4, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Almost Locked Set XY-Wing*1, AIC*3, Locked Candidates Type 1 (Pointing)*2, Naked Pair*2, W-Wing*2, Almost Locked Set XZ-Rule*1, Continuous Nice Loop*1, XY-Wing*2
64	stuck	-	3720	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*1, 隐式矩形(Hidden Rectangle)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Almost Locked Set XY-Wing*3, Forcing Chain Contradiction*3, Almost Locked Set Chain*1
65	solved	极端	5080	隐藏唯一数(Hidden Single)*15, Locked Candidates Type 1 (Pointing)*6, Locked Candidates Type 2 (Claiming)*3, 双线风筝(2-String Kite)*1, Finned X-Wing*1, Sue de Coq*1, 成组不连续环(Grouped Discontinuous Nice Loop)*7, Almost Locked Set XZ-Rule*1, 摩天楼(Skyscraper)*1, AIC*2, Simple Colors Trap*1, 隐式矩形(Hidden Rectangle)*1, Naked Single*20, Full House*20, Naked Pair*2, 空矩形(Empty Rectangle)*1, W-Wing*1
66	stuck	-	128	隐藏唯一数(Hidden Single)*2, Locked Candidates Type 1 (Pointing)*2
67	stuck	-	2128	隐藏唯一数(Hidden Single)*2, Locked Candidates Type 1 (Pointing)*2, Forcing Chain Contradiction*4
68	solved	极端	8410	隐藏唯一数(Hidden Single)*11, Locked Pair*2, Naked Single*23, Locked Candidates Type 1 (Pointing)*4, Discontinuous Nice Loop*13, 成组不连续环(Grouped Discontinuous Nice Loop)*5, Almost Locked Set Chain*1, Forcing Chain Contradiction*2, Locked Candidates Type 2 (Claiming)*2, Almost Locked Set XY-Wing*1, XYZ-Wing*2, XY链(XY-Chain)*1, AIC*1, Full House*21
69	solved	极端	11794	Naked Single*22, 隐藏唯一数(Hidden Single)*8, X-Wing*3, Discontinuous Nice Loop*12, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*8, Locked Candidates Type 2 (Claiming)*1, Locked Candidates Type 1 (Pointing)*3, Naked Triple*3, Finned Franken Swordfish*1, Almost Locked Set Chain*2, Naked Pair*1, Hidden Triple*1, Continuous Nice Loop*2, Almost Locked Set XZ-Rule*1, Sashimi Swordfish*1, Full House*21
70	stuck	-	548	Naked Single*1, 隐藏唯一数(Hidden Single)*1, Locked Candidates Type 1 (Pointing)*1, Finned Swordfish*1, Discontinuous Nice Loop*1
71	stuck	-	420	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1
